Timestamp,Throughput
0.006088,164.252592
0.010706,186.813158
0.011373,263.786308
0.015292,261.567307
0.015938,313.721278
0.016509,363.440722
0.018176,385.120951
0.018663,428.656777
0.019884,452.614414
0.020364,491.074162
0.021546,510.533774
0.022593,531.126585
0.024155,538.192589
0.025218,555.165838
0.025728,583.032268
0.027379,584.382260
0.029203,582.122405
0.029711,605.846418
0.031266,607.684199
0.032358,618.086834
0.033423,628.301124
0.035045,627.766327
0.036567,628.986355
0.038153,629.047956
0.038677,646.376996
0.040306,645.059441
0.041430,651.703191
0.043020,650.867055
0.043593,665.246480
0.044142,679.625894
0.044622,694.723626
0.045701,700.197062
0.046926,703.238702
0.047512,715.609487
0.048153,726.855659
0.048704,739.164177
0.049253,751.228797
0.050358,754.593549
0.051420,758.463682
0.051943,770.070768
0.053491,766.490501
0.055080,762.521086
0.056668,758.808246
0.057226,768.877395
0.058859,764.543659
0.059910,767.822149
0.060917,771.544367
0.062432,768.835300
0.064669,757.698890
0.066263,754.571101
0.066817,763.278029
0.068808,755.729648
0.071067,745.780361
0.071587,754.327303
0.072671,756.835122
0.073764,759.176529
0.074913,760.886839
0.075492,768.288810
0.076011,776.206487
0.077033,778.889832
0.078058,781.475114
0.079055,784.265757
0.081189,775.968965
0.081863,781.791519
0.083203,781.220488
0.083720,788.344823
0.084286,794.912965
0.085324,796.963569
0.086465,798.010017
0.086948,805.083268
0.088006,806.767731
0.088505,813.513434
0.089070,819.577870
0.089608,825.820801
0.091087,823.390653
0.091576,829.912012
0.092042,836.575762
0.093569,833.611524
0.095456,827.609610
0.095982,833.487641
0.097254,832.874216
0.098242,834.676407
0.099235,836.396375
0.099705,842.484377
0.100246,847.917362
0.100774,853.397706
0.101274,859.058473
0.101781,864.601304
0.102271,870.234979
0.102784,875.622835
0.103257,881.292693
0.103796,886.351628
0.104296,891.695653
0.104775,897.161027
0.105719,898.610021
0.106180,904.122874
0.107631,901.225533
0.109056,898.623018
0.110536,895.638687
0.112027,892.645841
0.112476,897.969560
0.113474,898.888279
0.113974,903.715945
0.114497,908.320092
0.115976,905.360760
0.116474,910.071390
0.117962,907.074514
0.118882,908.463977
0.119949,908.717441
0.120432,913.375417
0.120976,917.535247
0.121482,921.948878
0.121980,926.381602
0.122483,930.740999
0.122973,935.164135
0.123508,939.213130
0.124011,943.464221
0.125486,940.345232
0.126481,940.856362
0.127956,937.821578
0.128458,941.944321
0.129422,942.655245
0.130882,939.775280
0.131386,943.782291
0.132412,944.026252
0.132897,948.105313
0.133422,951.866159
0.133969,955.441657
0.134509,959.040517
0.136655,951.302719
0.137566,952.273083
0.138342,954.158089
0.139354,954.403673
0.139911,957.748572
0.141002,957.433323
0.141523,960.975247
0.142108,964.056606
0.142622,967.594666
0.143669,967.499122
0.145229,963.994648
0.146214,964.343066
0.146733,967.745110
0.147919,966.748091
0.148411,970.280870
0.149903,967.291247
0.151353,964.633803
0.159032,924.339463
0.159564,927.525211
0.160099,930.673680
0.160587,934.071124
0.161467,935.175649
0.162040,938.038259
0.163126,937.927757
0.163622,941.193992
0.164116,944.451132
0.165183,944.409256
0.165688,947.563136
0.166203,950.645443
0.167707,948.079449
0.169849,942.011791
0.170815,942.539822
0.172319,940.117716
0.173707,938.361978
0.174228,941.295611
0.175784,938.651752
0.176279,941.691132
0.178131,937.513517
0.179082,938.116199
0.179634,940.800297
0.180642,941.085532
0.182878,935.051523
0.184523,932.132414
0.186047,929.872784
0.187074,930.110751
0.187621,932.729114
0.189165,930.403473
0.190196,930.619117
0.191732,928.378126
0.192749,928.670230
0.194196,926.900120
0.195694,924.912591
0.196189,927.675951
0.197715,925.572406
0.198237,928.183970
0.199743,926.190391
0.201206,924.427707
0.202219,924.738322
